SN,Agent,Branch,Customer Name,Card Number,Account Number,Page Count,Start Page,End Page,Acknowledgement On,Terminal Id,Remarks
1,"7777","3345",,"234card","124",,,,"Wed, 21 Nov 2018 09:51:49 UTC",,
2,"7777","3345",,"234card","124",,,,"Wed, 21 Nov 2018 10:39:14 UTC",,
3,"7777","3345",,"234card","124",,,,"Wed, 21 Nov 2018 11:52:03 UTC",,
4,"7777","3345",,"234card","124",,,,"Wed, 21 Nov 2018 11:52:20 UTC",,
5,"7777","3345",,"234card","124",,,,"Wed, 21 Nov 2018 11:52:29 UTC",,
6,"7777","3345",,"234card","124",,,,"Wed, 21 Nov 2018 11:52:37 UTC",,
7,"7777","3345",,"234card","124",,,,"Wed, 21 Nov 2018 12:02:15 UTC",,
8,"7777","3345","anup","4214145252015463","1234567890",,,,"Wed, 21 Nov 2018 15:04:41 UTC",,
9,"7777","3345","anup","4214145252015463","1234567890",,,,"Wed, 21 Nov 2018 15:16:07 UTC",,
10,"7777","3345","anup","4214145252015463","1234567890",,,,"Wed, 21 Nov 2018 15:24:10 UTC",,
11,"7777","3345","anup","4214145252015463","1234567890",,,,"Wed, 21 Nov 2018 16:07:22 UTC",,
